ID,Country of Origin,Farm Name,Mill,Company,Altitude,Region,Producer,In-Country Partner,Harvest Year,Owner,Variety,Processing Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean Cup,Sweetness,Overall,Defects,Total Cup Points,Moisture Percentage,Category One Defects,Quakers,Color,Category Two Defects,Certification Body
57,Panama,La Santa,La Santa,Panamerican Coffee Trading,1200,Boquete,La Santa,Specialty Coffee Association Of Costa Rica,2023,Rodrigo Soto,Catuai,Washed / Wet,7.83,7.83,7.75,7.92,7.83,7.75,10.0,10.0,10.0,7.83,0.0,84.75,10.3,0,1,bluish-green,5,Specialty Coffee Association Of Costa Rica
58,Taiwan,Lanyunlvhaikafei,Qianzaoji、Tuokeji,Maotaishengjigufenyouxiangongsi,1200,Taiwanpingdong,Zhuoronghua,Taiwan Coffee Laboratory,2022,Ethan Lee,Yellow Bourbon,Pulped Natural / Honey,7.92,8.08,7.67,7.92,7.67,7.75,10.0,10.0,10.0,7.75,0.0,84.75,10.0,0,0,blue-green,0,Taiwan Coffee Laboratory
59,Guatemala,Varias Fincas,Varios Beneficios,"Peter Schoenfeld, S.A.",1600,Huehuetenango,Varios Productores,Asociacion Nacional Del Café,2023,Yesica Alejandra Martìnez Vàsquez,Caturra,Washed / Wet,7.67,8.0,7.67,7.83,7.92,7.67,10.0,10.0,10.0,7.92,0.0,84.67,10.6,0,0,green,1,Asociacion Nacional Del Café
60,Guatemala,San Rafael Urias Valdes,Eco Coffee,"Valbros, S. A.",4895,Antigua Guatemala,"Valbros, S. A.",Asociacion Nacional Del Café,2022,Angelica Paola Citan Lopez,Bourbon,Natural / Dry,7.83,8.0,7.67,7.83,7.75,7.75,10.0,10.0,10.0,7.83,0.0,84.67,10.9,0,3,yellow-green,2,Asociacion Nacional Del Café
61,Costa Rica,Gamboa Farm,Beneficio Montañas Del Diamante,Ceca S.A.,1850,Tarrazu,Martin Gutierrez,Specialty Coffee Association Of Costa Rica,2023,Joselyn Morales Quesada,Caturra,Washed / Wet,7.58,7.83,7.5,7.67,7.83,7.67,10.0,10.0,10.0,8.58,0.0,84.67,10.0,0,1,green,2,Specialty Coffee Association Of Costa Rica
62,Taiwan,8,8,Taiwu Coffee Cooperative,300,Xinzhuxian,Luozhenghong,Taiwan Coffee Laboratory,2022,Taiwu,Typica,Pulped Natural / Honey,7.83,7.83,7.75,7.75,7.75,7.75,10.0,10.0,10.0,7.92,0.0,84.58,9.6,0,0,greenish,0,Taiwan Coffee Laboratory
63,Taiwan,Dachu Coffee Estate,Dachu Coffee Estate,Taiwan Coffee Laboratory,700,Tainan City,"（Kuo,Ya-Tsung）",Taiwan Coffee Laboratory,2022,"Kuo, Ya-Tsung",Gesha,Pulped Natural / Honey,8.17,7.83,7.67,7.83,7.67,7.67,10.0,10.0,10.0,7.75,0.0,84.58,11.5,0,0,green,0,Taiwan Coffee Laboratory
64,Nicaragua,Finca Las Dos Marias,"Compare Coperativo Condega, Esteli, Nicaragua",Nicanola Coffee,1350,Esteli,Nicanola Coffee,Specialty Coffee Association,2022,Rene J Alcebo,Catrenic,Natural / Dry,7.92,7.75,7.67,7.67,7.83,7.75,10.0,10.0,10.0,8.0,0.0,84.58,9.9,1,0,green,2,Specialty Coffee Association
65,Taiwan,Yamuyikafeizhuangyuan,Yamuyikafeizhuangyuan,Taiwan Coffee Laboratory,1250,Chiayi,Puhanwen,Taiwan Coffee Laboratory,2022,Pu Han Wen,Gesha,Washed / Wet,8.08,7.83,7.67,7.67,7.67,7.75,10.0,10.0,10.0,7.92,0.0,84.58,11.2,0,0,green,2,Taiwan Coffee Laboratory
66,Taiwan,Mingyangyuan,Mingyangyuan,Taiwan Coffee Laboratory,1450,Chiayi,Wangzhengyuan,Taiwan Coffee Laboratory,2022,Taiwan Coffee Laboratory,Sl34,Natural / Dry,7.83,8.0,7.67,7.75,7.67,7.75,10.0,10.0,10.0,7.92,0.0,84.58,10.3,0,0,green,0,Taiwan Coffee Laboratory
67,Vietnam,Cupncare,Cupncare,Taiwan Coffee Laboratory,650,Quang Tri,Tong Phuc Lam Trading Services Company Limited,Taiwan Coffee Laboratory,2022,Taiwan Coffee Laboratory,Catimor,Natural / Dry,8.0,7.83,7.75,7.67,7.58,7.83,10.0,10.0,10.0,7.92,0.0,84.58,11.6,0,0,brownish,0,Taiwan Coffee Laboratory
68,Costa Rica,La Cumbre,La Montana Tarrazu Mill,Coffee Quality Union,1900,Tarrazu,Santa Maria De Dota,Japan Coffee Exchange,2022,Coffee Quality Union,Gesha,Washed / Wet,7.75,7.83,7.67,7.83,7.75,7.75,10.0,10.0,10.0,7.92,0.0,84.5,11.7,0,1,green,0,Japan Coffee Exchange
69,Taiwan,55,55,Taiwu Coffee Cooperative,520,Miaolixian,Lihongyi,Taiwan Coffee Laboratory,2022,Taiwu,Unknown,Pulped Natural / Honey,7.75,7.92,7.83,7.75,7.75,7.75,10.0,10.0,10.0,7.75,0.0,84.5,11.3,0,0,bluish-green,0,Taiwan Coffee Laboratory
70,Honduras,La Cuchilla,Global Coffee,Mercon Honduras,1368,Ajuterique,Jose Nahum Maldonado,Instituto Hondureño Del Café,2023,Comercial Internacional De Granos De Honduras Sa De Cv,Catuai,Washed / Wet,7.83,7.92,7.75,7.75,7.75,7.75,10.0,10.0,10.0,7.75,0.0,84.5,9.8,0,0,green,3,Instituto Hondureño Del Café
71,Ethiopia,Tracon Trading Plc,5.2Ha,Tracon Trading Plc,1943,Ethiopia,Tracon Trading Plc,Blossom Valley International,2022,Li Xiao Fei,Ethiopian Heirlooms,Washed / Wet,7.92,7.83,7.75,7.92,7.58,7.67,10.0,10.0,10.0,7.83,0.0,84.5,10.9,0,0,green,9,Blossom Valley International
